datetime,t_air_c,ghi_wm2,dni_wm2,dhi_wm2,wind_ms,rh_pct
2026-01-15 00:00,-21.3,0.0,0.0,0.0,2.1,32.0
2026-01-15 01:00,-22.0,0.0,0.0,0.0,1.9,33.0
2026-01-15 02:00,-22.5,0.0,0.0,0.0,1.8,34.0
2026-01-15 03:00,-23.1,0.0,0.0,0.0,1.8,34.0
2026-01-15 04:00,-23.6,0.0,0.0,0.0,1.7,35.0
2026-01-15 05:00,-24.0,0.0,0.0,0.0,1.6,36.0
2026-01-15 06:00,-23.8,15.0,20.0,5.0,1.8,35.0
2026-01-15 07:00,-21.5,120.0,280.0,30.0,2.0,31.0
2026-01-15 08:00,-18.2,340.0,520.0,65.0,2.3,28.0
2026-01-15 09:00,-14.5,580.0,670.0,95.0,2.7,25.0
2026-01-15 10:00,-11.2,760.0,760.0,120.0,3.1,23.0
2026-01-15 11:00,-9.0,850.0,810.0,140.0,3.4,22.0
2026-01-15 12:00,-8.1,870.0,820.0,150.0,3.5,21.0
2026-01-15 13:00,-8.5,810.0,790.0,140.0,3.4,22.0
2026-01-15 14:00,-9.8,670.0,730.0,115.0,3.2,23.0
2026-01-15 15:00,-12.1,460.0,610.0,85.0,2.9,26.0
2026-01-15 16:00,-14.6,210.0,410.0,50.0,2.5,29.0
2026-01-15 17:00,-17.0,30.0,80.0,15.0,2.2,32.0
2026-01-15 18:00,-18.5,0.0,0.0,0.0,2.1,33.0
2026-01-15 19:00,-19.4,0.0,0.0,0.0,2.0,34.0
2026-01-15 20:00,-20.1,0.0,0.0,0.0,1.9,34.0
2026-01-15 21:00,-20.6,0.0,0.0,0.0,1.8,35.0
2026-01-15 22:00,-21.0,0.0,0.0,0.0,1.8,35.0
2026-01-15 23:00,-21.2,0.0,0.0,0.0,1.7,35.0
