simulation_id,location,region,latitude_deg,longitude_deg,altitude_m,length_m,width_m,height_m,floor_area_m2,volume_m3,orientation_deg,wall_material,wall_thickness_m,wall_insulation_thickness_m,roof_thickness_m,roof_insulation_thickness_m,glazing_area_m2,glazing_ratio,ach,occupants,night_shutter,roof_emissivity,snow_albedo,wall_U_W_m2K,roof_U_W_m2K,thermal_mass_J_K,synthetic_flag
SIM_00001,Siachen_Glacier_High_Camp,Ladakh/Karakoram,35.45,77.05,4800,7.144709600062649,3.8979090853016247,2.7934934076364453,27.84942846192594,77.79719481483289,296.0391070686279,straw_bale,0.49656303439468075,0.0019177176783164995,0.09749768061430192,0.12423448628333854,0.2354693903044967,0.008455088786702258,0.8471899696673653,18,1,0.8557179192374966,0.75,0.1271581401612691,0.2639080915877779,12310902.694904681,True
SIM_00002,Tawang,Arunachal_Pradesh,27.59,91.86,3048,7.605793386495418,4.757682469893085,2.5509584586210377,36.18594986455801,92.30885489023105,181.22737940206792,eps,0.22146791120411533,0.05729526370845506,0.12113569145003486,0.1675772697472926,6.660425383232127,0.18406109023424083,0.9400255548925653,4,0,0.2328864652091742,0.75,0.12293073550511947,0.1982377659083537,10472992.65826673,True
SIM_00003,Kargil_Ridge,Ladakh,34.56,76.13,2670,5.609609608413925,6.705214309691604,3.0711998200538972,37.613634618120564,115.51898787074492,284.81977502436087,stone_masonry,0.5622772293816016,0.14632105833139833,0.19140112734175324,0.19540344394641554,8.765693237808485,0.2330456316387347,0.24033494752520246,3,1,0.633295792729101,0.75,0.21445523018543913,0.16978878148439153,103323844.91551976,True
SIM_00004,Siachen_Glacier_High_Camp,Ladakh/Karakoram,35.45,77.05,4800,7.014991645141254,5.702821634339434,3.1858653518301403,40.00524611862192,127.45132750075477,118.78628505355434,stone_masonry,0.3057489843571557,0.10417047873378205,0.1719028729197182,0.09858667673352453,6.241920485116858,0.15602754865220853,0.43118040192778684,23,1,0.6197490064834168,0.75,0.30155360969214706,0.32158994493194437,66360607.661288545,True
SIM_00005,Galwan_Valley,Ladakh,34.77,78.18,4350,8.629493689548028,4.085883330790502,2.855713161782587,35.25910441928611,100.68988856282192,261.28683648100343,straw_bale,0.443327943334311,0.016132814928932437,0.24504294587955483,0.07533467210596444,7.591057628363886,0.21529354625955024,0.9179924308236993,18,1,0.899311634366752,0.292281931351802,0.13420355450848195,0.4004084360396556,26246752.159986824,True
SIM_00006,Karakoram_Pass_Scenario,Ladakh/Karakoram,35.53,77.82,5540,8.742142462387802,3.9329262151990143,2.9275754182754583,34.38220126732945,100.65648725643301,285.08495203276306,straw_bale,0.4758087204653423,0.18827788452958363,0.1359525314796777,0.03867109023033155,6.032762179666557,0.17546177839983126,0.6770530573151491,21,1,0.5797125655515236,0.75,0.0777030826393531,0.728864438208909,17742750.48518265,True
SIM_00007,Se_La,Arunachal_Pradesh,27.51,92.11,4170,7.473859908249235,5.822455501929545,2.7823169529061387,43.5162167434364,121.07590757160106,168.93601657668904,mud_brick,0.3891685691144594,0.09363354622681073,0.08969797613597402,0.0759830314995357,11.464708225776924,0.26345829402796506,0.2988175641455935,15,1,0.8948410714210211,0.75,0.2972531781985476,0.41579804029108447,57927841.04352918,True
SIM_00008,Se_La,Arunachal_Pradesh,27.51,92.11,4170,4.261124791221253,3.6217554121512205,2.6578811052865743,15.432751774457312,41.018419343907944,162.1917581751833,straw_bale,0.2504648909503038,0.08477851172562888,0.15585957685753665,0.13267431371270408,2.2296747749001096,0.14447681187942357,0.38017780288269665,9,1,0.7760179852148037,0.75,0.15514581735687852,0.24557818388840777,7610368.199461409,True
SIM_00009,Lipulekh_Approach,Uttarakhand,30.24,80.61,5000,4.513665908706098,4.489293741158866,2.495996817742311,20.263172113636433,50.57681311300127,137.35796776223347,dense_concrete,0.1417212299199954,0.19426908465289527,0.21201824220929744,0.16319266175810138,2.5324686610013156,0.12497888518140994,1.214834071790374,9,1,0.28580587118452155,0.16351747226133373,0.17176892736482774,0.20063846850898656,24530648.39217197,True
SIM_00010,Gurudongmar,Sikkim,27.99,88.71,5148,3.868355005086758,3.5841612835238066,2.6342338236011904,13.864808240157496,36.52314682396737,175.43693194834194,stone_masonry,0.4980907542962233,0.18060442877143712,0.2397861555916726,0.05107382093834059,0.06166219629265794,0.00444738904603541,0.8355537896924792,17,0,0.6929039893285102,0.2508548140203919,0.17835346719281758,0.5553926859616011,47542237.362875685,True
SIM_00011,Auli_High_Camp,Uttarakhand,30.53,79.57,2800,6.767569618962855,3.2029377815986817,2.7183427002033937,21.676104422175523,58.923080224867334,66.70218461135765,stone_masonry,0.4409263309785051,0.1496013330522252,0.11563541015141068,0.18044003905981137,2.3181927511443123,0.10694692671680933,0.527490605718352,6,1,0.5926715377004559,0.75,0.21325222359468698,0.18491033962837558,54523208.076288596,True
SIM_00012,Tawang,Arunachal_Pradesh,27.59,91.86,3048,5.453147431583532,6.915301117129572,2.698253928132956,37.71015652550186,101.75157797544402,178.5232647639534,wood_pine,0.3545652058382551,0.1216113197905695,0.10089190757847664,0.1068971481702721,0.8829326459879349,0.02341365635517432,0.319236265217396,15,1,0.74768996091594,0.38030817497052527,0.15693576522530242,0.30337321757229335,27683463.428259373,True
SIM_00013,Nyoma,Ladakh,32.96,78.7,4180,8.152897259034267,4.914108351295818,2.9159870358992026,40.064220507877074,116.82674760437652,255.54172671161845,mud_brick,0.2145538235916947,0.1090016698998667,0.2202517845960073,0.031670784340432516,5.630749855573926,0.14054310265357234,1.186134875641011,24,0,0.6453478271373551,0.75,0.2800802560619533,0.8115550797272865,48091347.43322939,True
SIM_00014,Chushul,Ladakh,34.07,79.0,4350,8.095264224302353,3.246923911659044,3.0687196563084917,26.284706981085314,80.66039697316553,43.67598738735643,straw_bale,0.4806816090527125,0.14929863249680914,0.13424177012989275,0.1720450972890578,0.45848963639805973,0.01744320896283883,0.7501896195200171,10,1,0.39088699006417515,0.75,0.08452530287188822,0.19299575234179206,14740881.257634342,True
SIM_00015,Tawang,Arunachal_Pradesh,27.59,91.86,3048,9.68602589188001,6.1531878296153435,2.515598573589725,59.59993663525518,149.92951558568592,122.287359792452,stone_masonry,0.40198172854678704,0.12438649193174284,0.18561000690823237,0.09357265071755838,3.037515031260153,0.05096507148739769,0.31193670764287673,24,1,0.7342343382185434,0.23836470221883083,0.25334266955764695,0.3360121473275074,90792767.20802756,True
SIM_00016,Keylong,Himachal_Pradesh,32.57,77.02,3080,4.127084936020325,5.973189119334968,2.945270552825025,24.65185883440786,72.60639389738093,46.461868629880605,mud_brick,0.4496896687856149,0.13406443929879172,0.24607617545554794,0.18188607715880736,6.512892027803506,0.2641947640359326,1.2726489427197814,8,1,0.3933189418507952,0.75,0.2173913621719655,0.18042354851682174,59435453.706181675,True
SIM_00017,Gunji,Uttarakhand,30.34,80.22,3500,5.774662684844866,6.809959430535007,2.770700181615716,39.3252186088179,108.95839034152948,56.90434058958658,mud_brick,0.4747335088419026,0.06091138739022624,0.17966951212961238,0.07687498011536849,0.5085091400146036,0.012930866197412072,0.7799894259945421,9,0,0.38274725428337125,0.3319386323190696,0.39318942971915266,0.40083961965479303,72531322.36578299,True
SIM_00018,Himachal_High_Camp,Himachal_Pradesh,32.3,77.4,3500,4.09439055574916,6.08347190845371,3.118208643366488,24.908109928138188,77.66868366784314,191.88062173899806,puf_sandwich,0.3712143000642486,0.041251793806809926,0.1776851996698437,0.06855926975531301,0.8738269976627273,0.03508202750765856,0.4362083598818568,21,0,0.5256896915162578,0.75,0.05946758015561292,0.443310696354104,11593079.685371801,True
SIM_00019,Niti_Pass,Uttarakhand,30.88,79.85,5068,8.359319667187542,6.435497083172692,2.629363602779246,53.79637733549354,141.45023652732507,268.1552389191053,rammed_earth,0.24441308258145059,0.05621123044101564,0.19336702010879617,0.025369486658026075,2.5107817871151523,0.04667194914365729,1.4883110889403806,2,0,0.5732604821830065,0.75,0.5004431757377922,0.9680900331585613,65475154.59280047,True
