weather_id,location,date,day_of_year,hour,outdoor_temperature_C,relative_humidity_pct,wind_speed_mps,wind_direction_deg,ghi_W_m2,dni_W_m2,dhi_W_m2,cloud_fraction,snow_depth_m,snow_albedo,longwave_down_W_m2,air_pressure_Pa,air_density_kg_m3,weather_source,synthetic_flag
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,0,-12.0,60.0,1.45,220.0,0.0,0.0,0.0,0.15,0.25,0.75,177.4,65764.1,0.8773,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,1,-13.81,63.9,1.32,220.0,0.0,0.0,0.0,0.15,0.25,0.75,170.5,65764.1,0.8834,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,2,-15.5,67.5,1.28,220.0,0.0,0.0,0.0,0.15,0.25,0.75,164.2,65764.1,0.8892,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,3,-16.95,70.6,1.32,220.0,0.0,0.0,0.0,0.15,0.25,0.75,159.0,65764.1,0.8942,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,4,-18.06,73.0,1.45,220.0,0.0,0.0,0.0,0.15,0.25,0.75,155.1,65764.1,0.8981,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,5,-18.76,74.5,1.65,220.0,0.0,0.0,0.0,0.15,0.25,0.75,152.7,65764.1,0.9006,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,6,-19.0,75.0,1.92,220.0,0.0,0.0,0.0,0.15,0.25,0.75,151.9,65764.1,0.9014,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,7,-18.76,74.5,2.23,220.0,0.0,0.0,0.0,0.15,0.25,0.75,152.7,65764.1,0.9006,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,8,-18.06,73.0,2.56,220.0,111.8,487.4,21.4,0.15,0.25,0.75,155.1,65764.1,0.8981,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,9,-16.95,70.6,2.89,220.0,256.0,640.7,35.3,0.15,0.25,0.75,159.0,65764.1,0.8942,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,10,-15.5,67.5,3.2,220.0,375.2,708.1,45.2,0.15,0.25,0.75,164.2,65764.1,0.8892,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,11,-13.81,63.9,3.47,220.0,451.8,739.3,51.1,0.15,0.25,0.75,170.5,65764.1,0.8834,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,12,-12.0,60.0,3.67,220.0,477.5,748.3,53.0,0.15,0.25,0.75,177.4,65764.1,0.8773,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,13,-10.19,56.1,3.8,220.0,449.7,738.5,50.9,0.15,0.25,0.75,184.6,65764.1,0.8712,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,14,-8.5,52.5,3.84,220.0,371.1,706.2,44.8,0.15,0.25,0.75,191.5,65764.1,0.8657,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,15,-7.05,49.4,3.8,220.0,250.5,636.7,34.9,0.15,0.25,0.75,197.5,65764.1,0.861,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,16,-5.94,47.0,3.67,220.0,105.9,477.4,20.8,0.15,0.25,0.75,202.3,65764.1,0.8574,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,17,-5.24,45.5,3.47,220.0,0.0,0.0,0.0,0.15,0.25,0.75,205.4,65764.1,0.8551,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,18,-5.0,45.0,3.2,220.0,0.0,0.0,0.0,0.15,0.25,0.75,206.4,65764.1,0.8544,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,19,-5.24,45.5,2.89,220.0,0.0,0.0,0.0,0.15,0.25,0.75,205.4,65764.1,0.8551,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,20,-5.94,47.0,2.56,220.0,0.0,0.0,0.0,0.15,0.25,0.75,202.3,65764.1,0.8574,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,21,-7.05,49.4,2.23,220.0,0.0,0.0,0.0,0.15,0.25,0.75,197.5,65764.1,0.861,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,22,-8.5,52.5,1.92,220.0,0.0,0.0,0.0,0.15,0.25,0.75,191.5,65764.1,0.8657,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_NORMAL_WINTER,Leh,2026-01-15,15,23,-10.19,56.1,1.65,220.0,0.0,0.0,0.0,0.15,0.25,0.75,184.6,65764.1,0.8712,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_COLD_WINTER,Leh,2026-01-15,15,0,-18.0,60.0,1.74,220.0,0.0,0.0,0.0,0.1,0.4,0.75,151.9,65764.1,0.8979,SYNTHETIC_CLIMATOLOGY,True
WX_LEH_COLD_WINTER,Leh,2026-01-15,15,1,-19.81,63.9,1.59,220.0,0.0,0.0,0.0,0.1,0.4,0.75,145.8,65764.1,0.9043,SYNTHETIC_CLIMATOLOGY,True
